Date,500m,Grid 1km,DTM 5m,Hsec+100%,LSec+25%,Kh x2,Ksat x10,LayThick/2,SoilDepth+100%,ManC+50%,ManS+50%,CN,CN -25%,GreenAmpt,PM0+CN,PM0+CN -25%,Veg0
20080101,457.25,110.51,348.42,517.14,531.13,556.38,793.72,557.29,281.62,552.62,544.42,584.47,559.5,380.73,134.57,126.68,343.47
20080102,811.46,139.57,573.18,806.75,752.66,807.5,870.45,862.5,533.62,785.99,813.52,721.88,677.23,569.51,72.1,66.19,492.16
20080103,1134.46,212.03,761.66,866.14,977.77,1134.29,1080.47,1234.92,744.09,1132.73,1156.3,1043.94,1051.57,798.33,104.35,68.59,684.67
20080104,586.86,108.3,291.65,469.41,478.18,575.81,685.39,623.1,426.06,538.05,541.06,484.82,483.45,411.11,67.41,56.93,355.89
20080105,545.24,138.73,377.93,557.53,507.11,551.12,695.79,578.95,475.94,537.34,561.76,540.43,527.64,390.33,66.06,48.59,338.23
20080106,444.03,101.28,285.61,473.78,416.24,464.73,654.09,502.4,422.95,431.16,461.06,433.11,446.38,314.95,56.33,40.96,281.45
20080107,636.41,159.16,420.39,654.23,593.33,630.91,719.76,669.77,568.81,596.79,658.76,644.3,628.07,453.01,96.01,69.78,396.86
20080108,605.63,140.31,400.19,620.97,576.58,607.55,715.06,644.64,554.2,583.73,609.65,582.16,589.02,420.68,98.08,78.51,367.94
20080109,512.61,121.22,316.55,519.47,475.1,522.66,655.27,557.28,497.44,504.69,546.04,502.69,499.74,357.43,84.07,70.83,320.37
20080110,594.81,148.65,404.66,601.35,555.82,598.44,667.08,621.83,543.82,586.18,594.48,556.24,570.3,414.43,81.46,67.83,365.43
20080111,1205.94,233.54,816.24,924.16,1011.97,1168.71,934.35,1248.57,1073.61,1156.26,1210.99,1121.69,1093.31,831.55,164.74,129.95,734.54
20080112,610.16,110.81,321.12,489.79,519.97,605.82,498.51,672.53,542.23,555.08,574.16,589.98,573.58,430.16,73.56,72.24,388.84
20080113,918.4,192.43,617.12,791.21,806.13,822.09,589.09,1079.33,851.53,863.58,754.73,929.65,930.74,697.09,138.21,117.26,603.53
20080114,485.52,149.33,421.82,586.31,557.72,472.64,514.85,774.36,607.36,482,485.84,647.59,627.96,469.8,101.76,85.69,402.95
20080115,846.34,226.02,773.27,646.64,748.53,837.19,745.56,1260.28,1053.4,822.85,802.38,1102.87,1105.88,824.19,168.41,129.04,716.43
20080116,691.77,200.2,596.89,550.29,592.07,695.14,670.07,1000.62,874.58,763.83,712.17,956.91,941.42,681.11,135.45,99.01,593.18
20080117,497.73,105.72,402.98,336.48,408.45,504.85,487.58,715.06,646.32,493.04,508.07,658.58,671.28,494.4,81.98,68.39,427.22
20080118,353.66,91.01,283.12,310.31,286.71,365.1,427.86,501.06,463.61,383.73,399.79,476.36,470.85,354.68,61.65,59.57,308.62
20080119,276.01,79.55,255.58,272.64,271.84,281.75,405.29,391.32,378.38,289.2,278.56,364.01,364.13,270.03,53.92,51.69,238.53
20080120,279.69,78.91,255.06,271.71,272.77,277.51,392.21,393.07,372.75,280.57,274.98,351.39,360.79,267.4,44.58,41.68,238.48
20080121,277.2,76.73,251.12,273.86,275.13,296.78,389.47,417.76,372.81,272.01,274.93,355.17,361.81,268.38,39.29,38.77,229.69
20080122,280.45,79.8,258.19,275.35,274.92,302.26,372.36,419.04,379.39,274.4,273.92,360.62,360.64,268.05,35.46,35.79,219.9
