Date,Observed,Modelled
20080101,-9999,82.72397123
20080102,-9999,57.2722785
20080103,-9999,81.75997604
20080104,-9999,36.76114975
20080105,-9999,35.29980826
20080106,-9999,29.16401581
20080107,-9999,37.24833698
20080108,-9999,32.07137043
20080109,-9999,27.58191153
20080110,-9999,28.25492427
20080111,-9999,59.25243275
20080112,-9999,25.76439141
20080113,-9999,46.80214132
20080114,-9999,35.99997411
20080115,-9999,60.16162758
20080116,-9999,55.47832574
20080117,-9999,25.86268475
20080118,-9999,23.6230921
20080119,-9999,20.53334778
20080120,-9999,19.06612245
20080121,-9999,17.90938722
20080122,-9999,17.04774917
20080123,-9999,16.03007931
20080124,-9999,15.05126996
20080125,-9999,14.28941437
20080126,-9999,13.54532483
20080127,-9999,13.03576837
20080128,-9999,12.71867908
20080129,-9999,11.91571237
20080130,-9999,13.47555896
20080131,-9999,11.39823991
20080201,-9999,19.5588211
20080202,-9999,15.16934328
20080203,-9999,26.87168271
20080204,-9999,18.46330364
20080205,-9999,12.449516
20080206,-9999,10.53098238
20080207,-9999,10.17600651
20080208,-9999,9.820796235
20080209,-9999,9.29844852
20080210,-9999,9.073798311
20080211,-9999,8.531249082
20080212,-9999,8.145655709
20080213,-9999,7.929681498
20080214,-9999,7.951406349
20080215,-9999,7.644451618
20080216,-9999,7.452037418
20080217,-9999,7.137314555
20080218,-9999,10.71537161
20080219,-9999,12.84723017
20080220,-9999,9.175439335
20080221,-9999,7.101917233
20080222,-9999,6.289426522
20080223,-9999,6.310669112
20080224,-9999,10.42976265
20080225,-9999,7.119520741
20080226,-9999,7.210917243
20080227,-9999,13.90376812
20080228,-9999,8.889911943
20080229,-9999,6.466736419
20080301,-9999,6.272151857
20080302,-9999,5.831542646
20080303,-9999,5.752395499
20080304,-9999,5.149099861
20080305,-9999,5.202715939
20080306,-9999,5.329702508
20080307,-9999,5.271214161
20080308,-9999,5.56792783
20080309,-9999,9.196011786
20080310,-9999,16.47454788
20080311,-9999,7.404852454
20080312,-9999,6.23575382
20080313,-9999,5.054326793
20080314,-9999,4.786907152
20080315,-9999,11.27990717
20080316,-9999,6.366783184
20080317,-9999,13.60838782
20080318,-9999,8.425210955
20080319,-9999,5.784618943
20080320,-9999,4.320501254
20080321,-9999,4.52840368
20080322,-9999,13.56433913
20080323,-9999,8.150466448
20080324,-9999,8.410320188
20080325,-9999,7.242107709
20080326,-9999,13.86814768
20080327,-9999,15.0473242
20080328,-9999,9.302131467
20080329,-9999,5.969797554
20080330,-9999,21.64773388
20080331,-9999,9.613230792
20080401,-9999,6.197331345
20080402,-9999,5.070969506
20080403,-9999,4.433215731
20080404,-9999,4.090895833
20080405,-9999,3.99166396
20080406,-9999,4.235535441
20080407,-9999,14.62939627
20080408,-9999,18.9344376
20080409,-9999,38.2279496
20080410,-9999,45.13697382
20080411,-9999,13.94952139
20080412,-9999,16.9551956
20080413,-9999,19.55796902
20080414,-9999,10.59050281
20080415,-9999,8.54508226
20080416,-9999,11.96194113
20080417,-9999,30.92837485
20080418,-9999,44.88212413
20080419,-9999,37.79759523
20080420,-9999,29.55557662
20080421,-9999,25.79443533
20080422,-9999,24.60132576
20080423,-9999,26.83917865
20080424,-9999,13.67314568
20080425,-9999,11.44499654
20080426,-9999,10.97819392
20080427,-9999,11.29047186
20080428,-9999,12.37695491
20080429,-9999,17.03746846
20080430,-9999,14.76765615
20080501,-9999,12.18052566
20080502,-9999,9.586179346
20080503,-9999,8.221587851
20080504,-9999,9.879295923
20080505,-9999,9.03300352
20080506,-9999,8.712362124
20080507,-9999,11.49731474
20080508,-9999,16.51842903
20080509,-9999,14.27855053
20080510,-9999,12.4943927
20080511,-9999,10.3714099
20080512,-9999,10.30058676
20080513,-9999,17.93323515
20080514,-9999,13.38188039
20080515,-9999,16.57887664
20080516,-9999,12.46968249
20080517,-9999,16.16454187
20080518,-9999,19.39700169
20080519,-9999,11.65309849
20080520,-9999,8.504300981
20080521,-9999,12.87037632
20080522,-9999,16.76819733
20080523,-9999,38.98462242
20080524,-9999,21.38754204
20080525,-9999,16.51491332
20080526,-9999,26.30341948
20080527,-9999,20.10640335
20080528,-9999,24.38013385
20080529,-9999,23.49741454
20080530,-9999,21.94180546
20080531,-9999,15.16157714
20080601,-9999,13.24197272
20080602,-9999,11.93153962
20080603,-9999,11.39951598
20080604,-9999,10.60475097
20080605,-9999,9.956677349
20080606,-9999,8.179296006
20080607,-9999,7.031004019
20080608,-9999,7.316287718
20080609,-9999,6.367598324
20080610,-9999,6.331175625
20080611,-9999,5.818015073
20080612,-9999,5.051868332
20080613,-9999,4.862197091
20080614,-9999,4.939770918
20080615,-9999,7.110753575
20080616,-9999,18.62950586
20080617,-9999,6.948283649
20080618,-9999,4.827943366
20080619,-9999,4.810987001
20080620,-9999,4.98485986
20080621,-9999,4.31057281
20080622,-9999,3.995703952
20080623,-9999,4.144545649
20080624,-9999,4.164475211
20080625,-9999,3.724327558
20080626,-9999,3.960365783
20080627,-9999,3.644933599
20080628,-9999,3.198124526
20080629,-9999,3.104995393
