Date,Observed,ERA5 model
20080101,2.2,5.263751123
20080102,22.4,9.005616985
20080103,27.4,16.41238033
20080104,0,1.364161133
20080105,6.2,6.712725802
20080106,0.6,0.949040994
20080107,7.2,10.71982533
20080108,10.6,8.994800806
20080109,0.6,1.301065599
20080110,3.4,4.702463879
20080111,25.6,25.4535556
20080112,1,1.465927564
20080113,17.4,18.01402647
20080114,4,6.56293801
20080115,33,27.00919798
20080116,6.2,11.76426629
20080117,5.2,1.81197386
20080118,0.2,0.437281252
20080119,0,0.005160731
20080120,0,0
20080121,0,0.006066776
20080122,0,0.026649245
20080123,0,0.001654158
20080124,0,0.010231692
20080125,0,0
20080126,0,0
20080127,0,0
20080128,0,8.33E-14
20080129,0,0.006595152
20080130,1,1.842194992
20080131,0,0.088613826
20080201,13.6,10.59900413
20080202,0,0.006327694
20080203,17.8,15.00622891
20080204,2,2.906487456
20080205,0.8,0.876861736
20080206,0,0.00233197
20080207,0,0
20080208,0,8.33E-14
20080209,0,8.33E-14
20080210,0,0
20080211,0,8.33E-14
20080212,0,0
20080213,0,0
20080214,0,0
20080215,0,0.026107977
20080216,0,1.67E-13
20080217,0,8.33E-14
20080218,0,4.944738378
20080219,12.6,6.569686463
20080220,0.6,0.716894081
20080221,0,0.012067191
20080222,0,0.000351487
20080223,0,0.046365551
20080224,4,5.635867787
20080225,0,0.434840241
20080226,0.6,1.726079
20080227,14.8,9.418875755
20080228,0,0.079857784
20080229,0,0.381831691
20080301,0.4,0.118465203
20080302,0,0.019452239
20080303,0,0.095821653
20080304,0,0.011482656
20080305,0,0.024694658
20080306,0,0
20080307,0,0.004298543
20080308,0.2,0.371959686
20080309,9,6.01575079
20080310,9,14.58293346
20080311,2.4,2.634008865
20080312,0,0.715218619
20080313,0,0.018382629
20080314,0,0.466236831
20080315,7.6,8.442941224
20080316,0.2,1.946560217
20080317,11.4,9.82550992
20080318,3.2,2.595300411
20080319,0,0.010162024
20080320,0,0.001391469
20080321,1.8,0.954722184
20080322,9.4,12.42053073
20080323,3.2,3.359218055
20080324,3,4.364854215
20080325,2.6,2.221407266
20080326,20.2,12.27884833
20080327,12.6,12.50504421
20080328,2,2.922974323
20080329,0,0.024074358
20080330,17.6,20.00089001
20080331,0,1.250084804
20080401,0,0.159295166
20080402,0,0.000296904
20080403,0,0.000489004
20080404,0,0.001420776
20080405,0,0.000282825
20080406,0,0.007013473
20080407,5.2,18.22828216
20080408,16.8,16.48648536
20080409,27.1,25.89780676
20080410,9.8,22.35940744
20080411,0.2,3.760656658
20080412,4.6,6.972572707
20080413,7.4,8.418643677
20080414,0,0.001777344
20080415,0,8.33E-14
20080416,7.2,10.05498495
20080417,11.2,20.44223189
20080418,21.4,22.37204285
20080419,7.4,15.75658785
20080420,17,13.78579801
20080421,4.8,7.402541547
20080422,12.4,11.02877911
20080423,1.4,5.78662018
20080424,0,0.013779402
20080425,0,0
20080426,0,0.002827373
20080427,0,0.05512575
20080428,3.6,3.339753859
20080429,10.8,9.161838122
20080430,4,3.964310323
20080501,0.4,1.972674891
20080502,0,0
20080503,0,0.16610605
20080504,0,1.908145221
20080505,0,0.046602271
20080506,0,0.846565809
20080507,0,7.476774661
20080508,6.2,6.836875229
20080509,3.8,5.240217548
20080510,0.8,3.343881432
20080511,0,1.401355481
20080512,0,4.154642416
20080513,3.6,10.17413393
20080514,6.4,5.767953249
20080515,2.2,6.382458754
20080516,0.4,5.291289784
20080517,1.2,5.680659608
20080518,5.8,8.435137565
20080519,0.2,1.834145954
20080520,0,0.171167644
20080521,1.8,6.842218065
20080522,24.6,13.26691501
20080523,14.8,23.97173584
20080524,1,7.688602063
20080525,1,4.372641653
20080526,14.6,13.36391664
20080527,4.2,5.391744952
20080528,13.6,15.64048406
20080529,15.6,8.427994882
20080530,0,7.523415717
20080531,0,1.673509996
20080601,0,2.581323613
20080602,0,1.143259224
20080603,3.4,2.864320527
20080604,0,0.346401326
20080605,0,0.991205972
20080606,0,0.01446454
20080607,0,0
20080608,1.2,1.399500278
20080609,0,0.000426009
20080610,0,1.092644513
20080611,0,2.65E-05
20080612,0,0
20080613,0,0.00045634
20080614,0.2,0.000420869
20080615,3.4,3.723910734
20080616,6.2,13.18597646
20080617,0,0.001441478
20080618,0,0
20080619,0,0.312420647
20080620,0,0.247389166
20080621,0,0.11375073
20080622,0,0.170758124
20080623,0,0.158882106
20080624,0,0.420030188
20080625,0,0.097200365
20080626,0,0.05176231
20080627,0,0.001078337
20080628,0,4.06E-05
20080629,0,0.027526972
20080630,0,0.001331311
20080701,0.4,0.624626112
20080702,4.4,3.355955491
20080703,0,0.683349885
20080704,1.2,2.201135283
20080705,0.8,1.017935318
20080706,0.4,0.656992057
20080707,0,0.59422748
20080708,0,0.070107006
20080709,0,0.015652363
20080710,8.2,9.962945072
20080711,0.2,3.279050438
20080712,0.8,1.245783278
20080713,0,0.159802543
20080714,0,0
20080715,0,0
20080716,0,0.000601637
20080717,0,0.000245402
