Date,Observed,ERA5 model
20160101,18,15.40647062
20160102,2.4,3.709293191
20160103,34.2,25.78563967
20160104,21.7,15.88238902
20160105,10.4,11.6870838
20160106,13.2,11.30651052
20160107,72,46.66324323
20160108,44.5,29.26278202
20160109,23.6,30.68902777
20160110,28.4,35.36486714
20160111,5.9,9.713720566
20160112,3.8,4.832124693
20160113,34.4,15.63113634
20160114,19.1,27.57219038
20160115,0,0.116494266
20160116,0,0
20160117,6.2,4.056046887
20160118,2,4.29773692
20160119,0,0.5631765
20160120,0,0.184989525
20160121,4.2,4.775482463
20160122,4.1,3.274887797
20160123,4,1.873177296
20160124,0,0.000445196
20160125,9.1,16.41906827
20160126,0,0.00578505
20160127,11,2.278302665
20160128,13.7,30.21015574
20160129,0,0.001711497
20160130,2.6,1.173519817
20160131,1.3,1.624547769
20160201,0.2,0.087423845
20160202,0,0.339388515
20160203,0.2,0.038932549
20160204,0,0
20160205,0,8.32667E-14
20160206,33.2,19.4014132
20160207,3.9,2.436623996
20160208,8.4,8.771627484
20160209,33.9,18.28721814
20160210,18.6,15.736801
20160211,12.3,10.58840304
20160212,24.9,28.39320205
20160213,13,20.43311813
20160214,19.4,19.66485969
20160215,3.4,2.605982582
20160216,0,8.32667E-14
20160217,9.3,9.796980023
20160218,9.6,3.261220856
20160219,0,0.011392151
20160220,0,0.054624749
20160221,0,0.007554386
20160222,1.4,1.114726836
20160223,0.5,0.43212337
20160224,15.5,16.50021158
20160225,1.5,2.474509316
20160226,20,17.9044317
20160227,30.2,9.346384718
20160228,6.4,2.611419538
20160229,0,0.027362033
20160301,0,0.084540772
20160302,2.3,1.867561014
20160303,0,0.265599224
20160304,5.7,8.082810506
20160305,10.1,9.682445947
20160306,6.1,6.019081025
20160307,8.7,6.95068513
20160308,0.8,0.658668077
20160309,8.6,6.446566431
20160310,0.1,0.415420403
20160311,0,0.013720529
20160312,0,8.32667E-14
20160313,0,1.66533E-13
20160314,0,0.000911707
20160315,0,0
20160316,0,0.000492977
20160317,0,0.003494238
20160318,10,7.822706272
20160319,4.8,10.89843959
20160320,1.9,3.388770628
20160321,0,0.322044974
20160322,0,0.04118631
20160323,0,0.003587672
20160324,0,0.0003814
20160325,12.7,1.447675916
20160326,22.4,15.22524134
20160327,21.9,8.338144235
20160328,18.7,21.08775561
20160329,22.3,31.82080258
20160330,37.5,37.37719056
20160331,3,3.568612698
20160401,0,0
20160402,13.2,5.997848884
20160403,16.6,10.90415062
20160404,4,8.621951967
20160405,0,0.27420354
20160406,0,0.105077418
20160407,0,0.122456492
20160408,0.3,0.116158579
20160409,8.4,4.19870811
20160410,33.8,22.35242656
20160411,14.7,6.73023075
20160412,7.4,11.86421325
20160413,13.5,15.97839156
20160414,11.7,8.35661875
20160415,12.6,7.979152408
